,Latitude,Longitude,StopName,StopStatus,VehDistAlongRoute,VehicleRef
2,40.700135,-73.911607,PALMETTO ST/ST NICHOLAS AV,< 1 stop away,6800.3099999999995,4043
3,40.693228,-73.972353,MYRTLE AV/VANDERBILT AV,< 1 stop away,1591.64,4060
4,40.695953,-73.984717,MYRTLE AV/FLEET PL,< 1 stop away,372.61000000000007,6557
0,40.699729,-73.912008,GATES AV/WYCKOFF AV,approaching,6743.86,3972
1,40.69687,-73.936218,MYRTLE AV/BROADWAY,approaching,4669.99,6585
2,40.700487,-73.911247,PALMETTO ST/ST NICHOLAS AV,< 1 stop away,6849.86,4043
3,40.693228,-73.972353,MYRTLE AV/VANDERBILT AV,< 1 stop away,1591.64,4060
4,40.695955,-73.984758,MYRTLE AV/FLEET PL,< 1 stop away,369.14000000000004,6557
0,40.696955,-73.935484,MYRTLE AV/BROADWAY,at stop,4732.59,6585
1,40.701002,-73.910721,PALMETTO ST/ST NICHOLAS AV,approaching,6922.29,4043
2,40.693183,-73.971164,MYRTLE AV/VANDERBILT AV,< 1 stop away,1691.98,4060
3,40.695955,-73.984758,MYRTLE AV/FLEET PL,< 1 stop away,369.14000000000004,6557
0,40.700535,-73.910014,PALMETTO ST/ST NICHOLAS AV,at stop,7017.58,4043
1,40.696951,-73.935516,MYRTLE AV/BROADWAY,at stop,4729.87,6585
2,40.693119,-73.969484,MYRTLE AV/VANDERBILT AV,approaching,1833.84,4060
3,40.695403,-73.984303,MYRTLE AV/FLEET PL,< 1 stop away,448.9200000000001,6557
0,40.693147,-73.968558,MYRTLE AV/CLINTON AV,at stop,1912.31,4060
1,40.696951,-73.935516,MYRTLE AV/BROADWAY,at stop,4729.87,6585
2,40.69383,-73.983511,MYRTLE AV/FLEET PL,< 1 stop away,636.23,6557
0,40.69321,-73.968005,MYRTLE AV/WASHINGTON AV,approaching,1959.4099999999999,4060
1,40.693771,-73.983482,MYRTLE AV/FLEET PL,< 1 stop away,643.1700000000001,6557
2,40.697122,-73.93395,MYRTLE AV/BUSHWICK AV,< 1 stop away,4863.28,6585
0,40.693363,-73.966688,MYRTLE AV/WASHINGTON AV,at stop,2071.7099999999996,4060
1,40.693771,-73.983482,MYRTLE AV/FLEET PL,< 1 stop away,643.1700000000001,6557
2,40.697371,-73.931759,MYRTLE AV/EVERGREEN AV,< 1 stop away,5050.05,6585
0,40.693428,-73.966135,MYRTLE AV/RYERSON ST,approaching,2118.92,4060
1,40.697639,-73.92931,MYRTLE AV/HART ST,< 1 stop away,5258.639999999999,6585
2,40.693713,-73.983452,MYRTLE AV/FLEET PL,< 1 stop away,650.1,6557
0,40.69784,-73.927646,MYRTLE AV/HART ST,at stop,5400.74,6585
1,40.693428,-73.966135,MYRTLE AV/RYERSON ST,approaching,2118.92,4060
2,40.693573,-73.981411,MYRTLE AV/ASHLAND PL,< 1 stop away,826.97,6557
0,40.693704,-73.963736,MYRTLE AV/STEUBEN ST,approaching,2323.5,4060
1,40.697937,-73.926699,MYRTLE AV/DE KALB AV,approaching,5481.25,6585
2,40.693573,-73.981411,MYRTLE AV/ASHLAND PL,< 1 stop away,826.97,6557
0,40.69804,-73.9257,MYRTLE AV/DE KALB AV,at stop,5566.240000000001,6585
1,40.693876,-73.962267,MYRTLE AV/CLASSON AV,approaching,2448.77,4060
2,40.693573,-73.981411,MYRTLE AV/ASHLAND PL,< 1 stop away,826.97,6557
0,40.69804,-73.9257,MYRTLE AV/DE KALB AV,at stop,5566.240000000001,6585
1,40.694041,-73.960829,MYRTLE AV/CLASSON AV,at stop,2571.41,4060
2,40.693558,-73.981003,MYRTLE AV/ASHLAND PL,approaching,861.45,6557
0,40.693496,-73.979369,MYRTLE AV/ASHLAND PL,at stop,999.37,6557
1,40.698066,-73.925478,MYRTLE AV/STOCKHOLM ST,< 1 stop away,5585.22,6585
2,40.6941,-73.960308,MYRTLE AV/FRANKLIN AV,< 1 stop away,2615.87,4060
0,40.693496,-73.979369,MYRTLE AV/ASHLAND PL,at stop,999.37,6557
1,40.694391,-73.95776,MYRTLE AV/FRANKLIN AV,at stop,2833.0899999999997,4060
