,Bearing,BlockRef,CallDistanceAlongRoute,DataFrameRef,DatedVehicleJourneyRef,DestinationName,DestinationRef,DirectionRef,DistanceFromCall,ExpectedArrivalTime,ExpectedDepartureTime,JourneyPatternRef,Latitude,LineRef,Longitude,Monitored,OperatorRef,OriginAimedDepartureTime,OriginRef,PresentableDistance,ProgressRate,ProgressStatus,PublishedLineName,RecordedAtTime,SituationSimpleRef,StopPointName,StopPointRef,StopsFromCall,VehicleRef,VisitNumber
5,87.15338,MTA NYCT_FP_B8-Weekday_C_FP_51900_B54-218,6820.99,2018-04-03,MTA NYCT_FP_B8-Weekday-100200_B54_223,DNTWN BKLYN JAY ST via MYRTLE,MTA_801134,1,67.56,2018-04-03T17:39:25.502-04:00,2018-04-03T17:39:25.502-04:00,MTA_B540070,40.693884,MTA NYCT_B54,-73.987197,True,MTA NYCT,2018-04-03T17:42:00.000-04:00,MTA_505218,approaching,noProgress,layover,B54,2018-04-03T17:38:55.000-04:00,MTABC_3eb852e7-605a-487e-9c33-5e34b9a09b0a,JAY ST/MYRTLE PLZ,MTA_801134,0,MTA NYCT_6548,1
6,87.15338,MTA NYCT_FP_B8-Weekday_C_FP_25260_B54-211,6820.99,2018-04-03,MTA NYCT_FP_B8-Weekday-101000_B54_225,DNTWN BKLYN JAY ST via MYRTLE,MTA_801134,1,75.67,2018-04-03T17:39:27.162-04:00,2018-04-03T17:39:27.162-04:00,MTA_B540070,40.693811,MTA NYCT_B54,-73.987201,True,MTA NYCT,2018-04-03T17:50:00.000-04:00,MTA_505218,approaching,noProgress,layover,B54,2018-04-03T17:38:53.000-04:00,MTABC_3eb852e7-605a-487e-9c33-5e34b9a09b0a,JAY ST/MYRTLE PLZ,MTA_801134,0,MTA NYCT_6579,1
7,5.8310223,MTA NYCT_FP_B8-Weekday_C_FP_17820_B54-205,5958.13,2018-04-03,MTA NYCT_FP_B8-Weekday-101400_B54_222,RIDGEWOOD TERM via MYRTLE,MTA_901258,0,91.57,2018-04-03T17:39:35.688-04:00,2018-04-03T17:39:35.688-04:00,MTA_B540062,40.698409,MTA NYCT_B54,-73.922171,True,MTA NYCT,,MTA_308472,approaching,normalProgress,,B54,2018-04-03T17:38:56.000-04:00,MTABC_3eb852e7-605a-487e-9c33-5e34b9a09b0a,MYRTLE AV/WILSON AV,MTA_304411,0,MTA NYCT_6578,1
8,357.76578,MTA NYCT_FP_B8-Weekday_C_FP_58440_B54-214,1584.72,2018-04-03,MTA NYCT_FP_B8-Weekday-104600_B54_214,RIDGEWOOD TERM via MYRTLE,MTA_901258,0,116.54,2018-04-03T17:39:33.374-04:00,2018-04-03T17:39:33.374-04:00,MTA_B540062,40.693285,MTA NYCT_B54,-73.973815,True,MTA NYCT,,MTA_308472,approaching,normalProgress,,B54,2018-04-03T17:38:51.000-04:00,MTABC_3eb852e7-605a-487e-9c33-5e34b9a09b0a,MYRTLE AV/CARLTON AV,MTA_306929,0,MTA NYCT_3974,1
9,177.9264,MTA NYCT_FP_B8-Weekday_C_FP_15000_B54-202,5204.18,2018-04-03,MTA NYCT_FP_B8-Weekday-101800_B54_215,DNTWN BKLYN JAY ST via MYRTLE,MTA_801134,1,119.65,2018-04-03T17:39:50.141-04:00,2018-04-03T17:39:50.141-04:00,MTA_B540070,40.693114,MTA NYCT_B54,-73.969335,True,MTA NYCT,,MTA_505218,approaching,normalProgress,,B54,2018-04-03T17:38:57.000-04:00,MTABC_3eb852e7-605a-487e-9c33-5e34b9a09b0a,MYRTLE AV/VANDERBILT AV,MTA_307152,0,MTA NYCT_3969,1
10,6.6119037,MTA NYCT_FP_B8-Weekday_C_FP_22920_B54-208,4748.92,2018-04-03,MTA NYCT_FP_B8-Weekday-102200_B54_212,RIDGEWOOD TERM via MYRTLE,MTA_901258,0,135.28,2018-04-03T17:40:08.236-04:00,2018-04-03T17:40:08.236-04:00,MTA_B540062,40.696793,MTA NYCT_B54,-73.936879,True,MTA NYCT,,MTA_308472,approaching,normalProgress,,B54,2018-04-03T17:38:38.000-04:00,MTABC_3eb852e7-605a-487e-9c33-5e34b9a09b0a,MYRTLE AV/BROADWAY,MTA_304405,0,MTA NYCT_4520,1
11,296.5073,MTA NYCT_FP_B8-Weekday_C_FP_44700_B52-115,820.07,2018-04-03,MTA NYCT_FP_B8-Weekday-105400_B54_224,RIDGEWOOD TERM via MYRTLE,MTA_901258,0,196.58,2018-04-03T17:40:16.409-04:00,2018-04-03T17:40:16.409-04:00,MTA_B540062,40.693937,MTA NYCT_B54,-73.983564,True,MTA NYCT,,MTA_308472,< 1 stop away,normalProgress,,B54,2018-04-03T17:38:42.000-04:00,MTABC_3eb852e7-605a-487e-9c33-5e34b9a09b0a,MYRTLE AV/FLEET PL,MTA_308638,0,MTA NYCT_6563,1
12,186.46767,MTA NYCT_FP_B8-Weekday_C_FP_20760_B54-207,3646.53,2018-04-03,MTA NYCT_FP_B8-Weekday-103400_B54_218,DNTWN BKLYN JAY ST via MYRTLE,MTA_801134,1,215.63,2018-04-03T17:40:00.417-04:00,2018-04-03T17:40:00.417-04:00,MTA_B540070,40.695293,MTA NYCT_B54,-73.949939,True,MTA NYCT,,MTA_505218,< 1 stop away,normalProgress,,B54,2018-04-03T17:38:35.000-04:00,MTABC_3eb852e7-605a-487e-9c33-5e34b9a09b0a,MYRTLE AV/NOSTRAND AV,MTA_304434,0,MTA NYCT_7286,1
13,186.53609,MTA NYCT_FP_B8-Weekday_C_FP_26040_B26-16,4422.13,2018-04-03,MTA NYCT_FP_B8-Weekday-102600_B54_213,DNTWN BKLYN JAY ST via MYRTLE,MTA_801134,1,242.77,2018-04-03T17:40:09.665-04:00,2018-04-03T17:40:09.665-04:00,MTA_B540070,40.694281,MTA NYCT_B54,-73.958716,True,MTA NYCT,,MTA_505218,< 1 stop away,normalProgress,,B54,2018-04-03T17:38:39.000-04:00,MTABC_3eb852e7-605a-487e-9c33-5e34b9a09b0a,MYRTLE AV/CLASSON AV,MTA_308624,0,MTA NYCT_7261,1
14,6.709837,,4569.29,2018-04-03,MTA NYCT_FP_B8-Weekday-102200_B54_212,RIDGEWOOD TERM via MYRTLE,MTA_901258,0,285.73,2018-04-03T17:40:26.072-04:00,2018-04-03T17:40:26.072-04:00,MTA_B540062,40.696349,MTA NYCT_B54,-73.94075,True,MTA NYCT,,MTA_308472,< 1 stop away,normalProgress,,B54,2018-04-03T17:38:46.000-04:00,MTABC_3eb852e7-605a-487e-9c33-5e34b9a09b0a,MYRTLE AV/LEWIS AV,MTA_304404,0,MTA NYCT_6520,1
